"COU","Country","DTYP","Type","FREQ","Frequency","UNIT","Unit","DVAR","Variable","TIME","Time period","Value","Flag Codes","Flags"
"AUS","Australia","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","1997","1997",18.476,,
"AUS","Australia","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","1998","1998",15.578,,
"AUS","Australia","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","1999","1999",13.741,,
"AUS","Australia","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2000","2000",11.361,,
"AUS","Australia","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2001","2001",9.552,,
"AUS","Australia","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2002","2002",8.576,,
"AUS","Australia","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2003","2003",7.549,,
"AUS","Australia","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2004","2004",6.716,,
"AUS","Australia","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2005","2005",6.312,,
"AUS","Australia","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2006","2006",5.76,,
"AUS","Australia","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2007","2007",5.181,,
"AUS","Australia","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2008","2008",4.922,,
"AUS","Australia","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2009","2009",8.195,,
"AUS","Australia","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2010","2010",10.966,,
"AUT","Austria","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","1997","1997",59.241,,
"AUT","Austria","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","1998","1998",59.893,,
"AUT","Austria","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","1999","1999",62.045,,
"AUT","Austria","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2000","2000",61.188,,
"AUT","Austria","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2001","2001",60.659,,
"AUT","Austria","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2002","2002",60.401,,
"AUT","Austria","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2003","2003",60.882,,
"AUT","Austria","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2004","2004",62.242,,
"AUT","Austria","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2005","2005",62.116,,
"AUT","Austria","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2006","2006",60.434,,
"AUT","Austria","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2007","2007",57.829,,
"AUT","Austria","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2008","2008",59.319,,
"AUT","Austria","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2009","2009",64.916,,
"AUT","Austria","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2010","2010",65.754,,
"BEL","Belgium","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","1997","1997",109.891,,
"BEL","Belgium","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","1998","1998",105.317,,
"BEL","Belgium","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","1999","1999",103.431,,
"BEL","Belgium","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2000","2000",99.542,,
"BEL","Belgium","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2001","2001",99.125,,
"BEL","Belgium","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2002","2002",97.948,,
"BEL","Belgium","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2003","2003",95.395,,
"BEL","Belgium","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2004","2004",92.763,,
"BEL","Belgium","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2005","2005",91.774,,
"BEL","Belgium","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2006","2006",87.568,,
"BEL","Belgium","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2007","2007",85.295,,
"BEL","Belgium","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2008","2008",90.094,,
"BEL","Belgium","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2009","2009",94.893,,
"BEL","Belgium","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2010","2010",96.789,,
"CAN","Canada","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","1997","1997",52.684,,
"CAN","Canada","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","1998","1998",50.082,,
"CAN","Canada","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","1999","1999",46.652,,
"CAN","Canada","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2000","2000",40.863,,
"CAN","Canada","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2001","2001",39.713,,
"CAN","Canada","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2002","2002",38.091,,
"CAN","Canada","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2003","2003",35.853,,
"CAN","Canada","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2004","2004",32.109,,
"CAN","Canada","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2005","2005",30.235,,
"CAN","Canada","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2006","2006",27.934,,
"CAN","Canada","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2007","2007",25.183,,
"CAN","Canada","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2008","2008",28.642,,
"CAN","Canada","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2009","2009",35.716,,
"CAN","Canada","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2010","2010",36.073,,
"CZE","Czech Republic","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","1997","1997",9.56,,
"CZE","Czech Republic","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","1998","1998",9.751,,
"CZE","Czech Republic","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","1999","1999",10.974,,
"CZE","Czech Republic","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2000","2000",13.216,,
"CZE","Czech Republic","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2001","2001",14.669,,
"CZE","Czech Republic","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2002","2002",16.064,,
"CZE","Czech Republic","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2003","2003",19.137,,
"CZE","Czech Republic","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2004","2004",21.064,,
"CZE","Czech Republic","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2005","2005",23.164,,
"CZE","Czech Republic","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2006","2006",24.904,,
"CZE","Czech Republic","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2007","2007",25.24,,
"CZE","Czech Republic","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2008","2008",27.102,,
"CZE","Czech Republic","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2009","2009",32.496,,
"CZE","Czech Republic","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2010","2010",36.625,,
"DNK","Denmark","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","1997","1997",69.055,,
"DNK","Denmark","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","1998","1998",64.004,,
"DNK","Denmark","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","1999","1999",60.867,,
"DNK","Denmark","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2000","2000",54.809,,
"DNK","Denmark","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2001","2001",52.02,,
"DNK","Denmark","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2002","2002",51.623,,
"DNK","Denmark","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2003","2003",49.608,,
"DNK","Denmark","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2004","2004",46.958,,
"DNK","Denmark","AMT","Stocks: Outstanding amounts","A","Annual","PCT","Percentage","P1","Total central government debt % of GDP","2005","2005",39.292,,
